,wavelength,R,G,B
0,361,3.8123074625457e-07,-4.337807921314874e-07,2.930983651892568e-06
1,362,4.3232320163635946e-07,-4.928028792662312e-07,3.331764580349572e-06
2,363,4.902864737315132e-07,-5.598906875098695e-07,3.78760137303375e-06
3,364,5.559639248410368e-07,-6.36012399936265e-07,4.305048266644427e-06
4,365,6.302248962147791e-07,-7.221657870540618e-07,4.890859231977382e-06
5,366,7.146164919346704e-07,-8.202179145811207e-07,5.557657385924442e-06
6,367,8.107467115581759e-07,-9.32095132537612e-07,6.318653116994478e-06
7,368,9.196205740063466e-07,-1.058931100057778e-06,7.181800585777199e-06
8,369,1.042277438997032e-06,-1.2018976274103638e-06,8.155323151518384e-06
9,370,1.1797807071747689e-06,-1.362192741529924e-06,9.247633897007894e-06
10,371,1.3129144096191991e-06,-1.517427647283244e-06,1.0307030548738155e-05
11,372,1.4603265486934938e-06,-1.689403775755559e-06,1.1481256014253038e-05
12,373,1.6284044494433789e-06,-1.8861681289426473e-06,1.2824412761394874e-05
13,374,1.8234416140354538e-06,-2.1156451920190296e-06,1.4389769019638866e-05
14,375,2.051603326842818e-06,-2.3856075281752328e-06,1.6229591851521117e-05
15,376,2.3232893482206116e-06,-2.708849286118442e-06,1.8430582733366835e-05
16,377,2.6354242116847466e-06,-3.081285870527963e-06,2.09656134815949e-05
17,378,2.974044513542939e-06,-3.4854747065411328e-06,2.371689447714613e-05
18,379,3.325439474547697e-06,-3.90428079253983e-06,2.6568698655552543e-05
19,380,3.6761042840675764e-06,-4.320824326871503e-06,2.9407010745856846e-05
20,381,4.071775382114424e-06,-4.788408560064349e-06,3.259590639226242e-05
21,382,4.491399202704334e-06,-5.283255756846869e-06,3.597365486763874e-05
22,383,4.9722774191321915e-06,-5.85038270068949e-06,3.984565892675295e-05
23,384,5.552987285783041e-06,-6.5363822021568834e-06,4.452809687138282e-05
24,385,6.273484556495611e-06,-7.389469053740391e-06,5.034803952700257e-05
25,386,7.17153680246924e-06,-8.455314527585081e-06,5.761483831576959e-05
26,387,8.247455406385514e-06,-9.73440690935528e-06,6.633459557359063e-05
27,388,9.48529174923987e-06,-1.1207837998509924e-05,7.63848047599082e-05
28,389,1.0868429585361397e-05,-1.2855834512721272e-05,8.763711717735949e-05
29,390,1.2379585029005727e-05,-1.4657864897791944e-05,9.995830675133867e-05
30,391,1.459278721416283e-05,-1.7294597292508836e-05,0.0001180010920223966
31,392,1.7109910089610652e-05,-2.0297531119344823e-05,0.00013857124698117278
32,393,2.006243079550309e-05,-2.3825211205234054e-05,0.00016273916978575004
33,394,2.360142838881997e-05,-2.805979964508347e-05,0.00019173382698349725
34,395,2.7897671710160097e-05,-3.320715346443124e-05,0.00022694321765886555
35,396,3.3188546657623954e-05,-3.955575232029566e-05,0.0002703325428863179
36,397,3.9491185235200834e-05,-4.7130025935651546e-05,0.0003220867044665871
37,398,4.663345389485341e-05,-5.5725000786344764e-05,0.00038082282543948977
38,399,5.440671763344986e-05,-6.509195420405215e-05,0.0004448618420906516
39,400,6.256636489050607e-05,-7.49388248627993e-05,0.0005122307336425231
40,401,6.931524076301018e-05,-8.311644082794214e-05,0.0005682632442388116
41,402,7.637860848381691e-05,-9.170292342939215e-05,0.0006271941135431528
42,403,8.439141924172604e-05,-0.00010147345620575569,0.0006943600308067922
43,404,9.40153460626599e-05,-0.00011323494826516091,0.0007753137512065638
44,405,0.00010593681112615113,-0.00012782536946927836,0.0008758239920980465
45,406,0.00012066035429475482,-0.00014587164060149007,0.0010002961443119193
46,407,0.00013816289201137988,-0.00016736699496318938,0.0011487478403743657
47,408,0.00015835531554687454,-0.00019221812103623442,0.0013204958063265002
48,409,0.00018114273582753074,-0.00022032438914421223,0.001514802618247634
49,410,0.00020642289504421487,-0.00025157789785999047,0.0017308817706775323
50,411,0.0002324438425462826,-0.00028387621776359987,0.001954445646258502
51,412,0.0002609777970535005,-0.00031942035750339424,0.002200957987576794
52,413,0.00029261680005444597,-0.0003589590516182081,0.0024757345678222977
53,414,0.0003279583442852581,-0.0004032483181730852,0.0027841435166863888
54,415,0.000367603571588324,-0.00045304925521726574,0.003131590140255528
55,416,0.00041150145600877777,-0.0005082969660962375,0.0035177206626380102
56,417,0.00045943108640634193,-0.0005688280936094602,0.003942242813776865
57,418,0.0005117452975549583,-0.0006352643570157106,0.004410718148535156
58,419,0.0005687989833020865,-0.0007082335307366997,0.004928765647664699
59,420,0.0006309536640172028,-0.0007883681289256859,0.005502034956667552
60,421,0.0006921263849186372,-0.0008681654162990936,0.006078816014481533
61,422,0.0007560583707791026,-0.0009522491224951088,0.006691491881354717
62,423,0.0008202681083307141,-0.0010374916538509935,0.007318692964390581
63,424,0.0008823482062776034,-0.0011208582857452373,0.00793968041937306
64,425,0.0009399581778828483,-0.001199398461528248,0.008534285810655181
65,426,0.0009919160706099903,-0.0012716014057628927,0.009092196111972367
66,427,0.0010383252669314187,-0.0013376397973321758,0.00961486027228998
67,428,0.001078863898611247,-0.001397182805618361,0.010100346608193861
68,429,0.0011132127610702172,-0.0014499052054988719,0.010546757241010701
69,430,0.0011410741206043927,-0.0014955033536430953,0.010952320542537275
70,431,0.0011956846622476,-0.0015779445843980837,0.011641839161553778
71,432,0.0012447628141210088,-0.0016551815077898593,0.012310074141148798
72,433,0.0012882277523318477,-0.0017269545624837787,0.012955347600459645
73,434,0.0013260213393549547,-0.0017930127196172775,0.01357599602828629
74,435,0.0013581104158033337,-0.0018531186213883687,0.014170412713673527
75,436,0.0013842119800572662,-0.00190682533145964,0.014736120324262147
76,437,0.0014039470271288096,-0.001953830152430981,0.015271527846528899
77,438,0.0014171669522956701,-0.001994145431710263,0.015776519908926343
78,439,0.001423762845171433,-0.0020278559036460467,0.016251487469146196
79,440,0.001423594154377766,-0.00205500263741632,0.016696370596884634
80,441,0.0014085168643725682,-0.0020637964922250607,0.017013873541152615
81,442,0.0013869024529605952,-0.0020662018135184338,0.01730099256886591
82,443,0.0013587987044639423,-0.002062419975650863,0.01756089108938535
83,444,0.0013243002181361698,-0.002052729363576126,0.01779742149669241
84,445,0.0012835074341475887,-0.0020374101317895263,0.01801448254900726
85,446,0.0012364194984852592,-0.0020165191053938014,0.01821365807073336
86,447,0.0011830996043001975,-0.0019901414385550134,0.018395697366399302
87,448,0.0011238180874604078,-0.0019587304398486494,0.018564431245981478
88,449,0.0010588620027933556,-0.0019227632868969336,0.018723871664727543
89,450,0.0009885117290776022,-0.0018826926416225765,0.01887772181692833
90,451,0.0009043633835399346,-0.0018213259958824262,0.01884704557383913
91,452,0.0008167157804044006,-0.0017571069919039336,0.01881243299597468
92,453,0.0007251751635842216,-0.001689223060719617,0.018768137314890423
